Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2001-2002,2001-2002,2001-2002,,0,,http://reference.data.gov.uk/id/government-year/2001-2002
2002-2003,2002-2003,2002-2003,,1,,http://reference.data.gov.uk/id/government-year/2002-2003
2003-2004,2003-2004,2003-2004,,2,,http://reference.data.gov.uk/id/government-year/2003-2004
2004-2005,2004-2005,2004-2005,,3,,http://reference.data.gov.uk/id/government-year/2004-2005
2005-2006,2005-2006,2005-2006,,4,,http://reference.data.gov.uk/id/government-year/2005-2006
2006-2007,2006-2007,2006-2007,,5,,http://reference.data.gov.uk/id/government-year/2006-2007
2007-2008,2007-2008,2007-2008,,6,,http://reference.data.gov.uk/id/government-year/2007-2008
2008-2009,2008-2009,2008-2009,,7,,http://reference.data.gov.uk/id/government-year/2008-2009
2009-2010,2009-2010,2009-2010,,8,,http://reference.data.gov.uk/id/government-year/2009-2010
2010-2011,2010-2011,2010-2011,,9,,http://reference.data.gov.uk/id/government-year/2010-2011
2011-2012,2011-2012,2011-2012,,10,,http://reference.data.gov.uk/id/government-year/2011-2012
2012-2013,2012-2013,2012-2013,,11,,http://reference.data.gov.uk/id/government-year/2012-2013
