Statistic,Annual,Local Government Districts,Components of Change,UNIT,VALUE
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,starting-population,count,138044
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,births,count,1887
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,deaths,count,1080
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,natural-change,count,807
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,internal-inflows,count,3640
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,internal-outflows,count,3453
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,internal-net,count,187
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,united-kingdom-inflows,count,623
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,united-kingdom-outflows,count,726
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,united-kingdom-net,count,-103
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,rest-of-world-inflows,count,904
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,rest-of-world-outflows,count,1130
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,rest-of-world-net,count,-226
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,total-inflows,count,5167
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,total-outflows,count,5309
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,total-net,count,-142
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,other-changes,count,-58
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,migration-and-other-changes,count,-200
components-of-population-change-local-government-districts,2010-2011,antrim-and-newtownabbey,end-population,count,138651
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,starting-population,count,198202
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,births,count,3133
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,deaths,count,1452
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,natural-change,count,1681
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,internal-inflows,count,3322
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,internal-outflows,count,3070
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,internal-net,count,252
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,united-kingdom-inflows,count,826
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,united-kingdom-outflows,count,1035
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,united-kingdom-net,count,-209
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,rest-of-world-inflows,count,1604
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,rest-of-world-outflows,count,989
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,rest-of-world-net,count,615
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,total-inflows,count,5752
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,total-outflows,count,5094
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,total-net,count,658
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,other-changes,count,-243
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,migration-and-other-changes,count,415
components-of-population-change-local-government-districts,2010-2011,armagh-city-banbridge-and-craigavon,end-population,count,200298
components-of-population-change-local-government-districts,2010-2011,belfast,starting-population,count,333489
components-of-population-change-local-government-districts,2010-2011,belfast,births,count,4827
components-of-population-change-local-government-districts,2010-2011,belfast,deaths,count,3003
components-of-population-change-local-government-districts,2010-2011,belfast,natural-change,count,1824
components-of-population-change-local-government-districts,2010-2011,belfast,internal-inflows,count,9884
components-of-population-change-local-government-districts,2010-2011,belfast,internal-outflows,count,10823
components-of-population-change-local-government-districts,2010-2011,belfast,internal-net,count,-939
